period,time,x,y,freeKick,rightFoot,leftFoot,head,opportunity,goal
1,95,88,41,0,1,0,0,1,1
1,180,85,52,0,0,1,0,1,0
1,255,96,52,0,0,0,1,1,1
1,426,81,33,0,0,1,0,1,0
1,815,75,30,0,1,0,0,1,0
1,1286,90,39,0,0,1,0,0,0
1,1302,69,36,0,0,1,0,0,0
1,1546,86,58,0,1,0,0,0,0
1,1583,90,32,0,0,1,0,1,0
1,1606,73,36,0,1,0,0,0,0
1,1711,94,54,0,1,0,0,1,1
1,1969,92,58,0,0,0,1,1,0
1,2255,72,40,0,0,1,0,0,0
1,2814,87,48,0,1,0,0,0,0
1,2816,92,50,0,1,0,0,1,1
2,232,71,64,0,0,1,0,1,0
2,341,92,50,0,0,0,1,1,0
2,594,75,59,0,1,0,0,1,0
2,634,92,54,0,0,0,1,1,1
2,825,77,55,0,1,0,0,1,0
2,994,91,68,0,1,0,0,1,0
2,1346,90,56,0,0,0,1,1,0
2,1455,72,56,0,0,1,0,1,0
2,1528,87,47,0,0,1,0,0,0
2,1700,86,72,0,1,0,0,1,0
2,1720,66,66,0,1,0,0,0,0
2,1734,92,33,0,0,1,0,1,0
2,1997,73,66,0,1,0,0,1,0
2,2127,68,54,0,0,1,0,1,0
2,2148,92,32,0,0,0,1,0,0
2,2231,94,63,0,1,0,0,1,1
2,2355,90,34,0,0,1,0,1,0
2,2375,91,44,0,0,0,1,1,1
2,2997,73,58,0,1,0,0,1,0
1,190,89,37,0,1,0,0,1,0
1,535,80,29,0,1,0,0,0,0
1,794,89,59,0,0,0,1,1,0
1,996,76,33,1,1,0,0,1,0
1,1873,77,29,1,1,0,0,0,0
1,1996,92,56,0,1,0,0,1,0
1,1998,93,42,0,0,1,0,1,0
1,2675,88,38,0,0,0,1,1,0
1,2698,77,41,0,1,0,0,1,0
1,2823,79,29,0,1,0,0,0,0
2,300,80,38,0,1,0,0,1,0
2,426,86,34,0,1,0,0,1,0
2,618,74,39,0,1,0,0,0,0
