period,time,x,y,freeKick,rightFoot,leftFoot,head,opportunity,goal
1,31,91,29,0,1,0,0,0,0
1,143,71,29,0,1,0,0,1,0
1,220,96,57,0,1,0,0,1,0
1,248,96,61,0,0,0,1,1,0
1,557,75,33,0,0,1,0,0,0
1,599,96,39,0,0,0,1,1,0
1,816,93,61,0,0,0,1,1,0
1,1614,72,66,0,1,0,0,0,0
1,1773,68,31,0,1,0,0,0,0
1,2148,88,56,0,0,1,0,1,0
1,2766,88,49,0,0,0,1,1,0
2,101,76,27,0,1,0,0,0,0
2,131,89,40,0,1,0,0,1,0
2,237,79,17,0,0,1,0,0,0
2,398,91,47,0,0,1,0,1,0
2,662,89,53,0,1,0,0,1,0
2,719,93,52,0,0,0,1,1,1
2,880,94,39,0,0,0,1,1,0
2,2069,73,18,0,0,1,0,1,0
2,2135,78,46,0,1,0,0,1,0
2,2601,80,64,0,0,1,0,1,1
2,2870,81,37,0,0,1,0,1,0
1,222,76,52,0,1,0,0,0,0
1,259,93,55,0,0,0,1,1,1
1,870,82,52,0,1,0,0,1,0
1,958,72,65,0,0,1,0,0,0
1,1544,89,62,0,1,0,0,1,0
1,1830,92,59,0,1,0,0,1,0
1,1834,76,51,0,1,0,0,0,0
1,2243,82,40,1,1,0,0,0,0
1,2255,68,32,0,0,1,0,0,0
1,2329,83,31,0,0,1,0,0,0
1,2424,88,68,0,1,0,0,1,0
1,2548,92,28,0,0,1,0,1,0
2,458,91,35,0,0,1,0,0,0
2,563,75,37,0,0,1,0,0,0
2,1115,72,46,1,0,1,0,0,0
2,1255,82,37,0,0,1,0,1,0
2,1780,88,28,0,1,0,0,1,0
2,1852,95,68,0,1,0,0,1,0
2,2091,85,69,0,0,1,0,1,0
2,2136,87,44,0,0,1,0,1,0
2,2304,77,51,0,1,0,0,1,0
2,2471,86,48,0,0,0,1,0,0
2,2498,88,44,0,0,1,0,1,0
1,172,77,36,0,1,0,0,0,0
1,360,88,43,0,1,0,0,1,0
1,480,88,37,0,0,0,1,1,0
1,926,89,40,0,0,1,0,1,0
1,991,71,31,0,1,0,0,0,0
1,1198,74,68,0,1,0,0,1,0
1,1496,91,27,0,1,0,0,1,0
1,1629,90,53,0,1,0,0,1,0
1,1928,72,62,1,0,1,0,0,0
1,2038,89,56,0,0,0,1,1,0
1,2117,74,75,0,1,0,0,0,0
1,2280,89,44,0,0,0,1,1,0
1,2459,72,64,0,1,0,0,0,0
1,2608,92,56,0,0,0,1,1,0
2,49,89,33,0,1,0,0,0,0
2,52,93,36,0,0,1,0,1,0
2,179,89,66,0,0,1,0,1,0
2,452,72,76,0,1,0,0,0,0
2,662,89,32,0,0,1,0,1,1
2,722,79,35,0,0,1,0,0,0
2,855,76,75,1,0,1,0,0,0
2,1148,90,42,0,0,0,1,1,0
2,1174,85,34,0,1,0,0,1,0
2,1362,92,42,0,0,0,1,1,0
2,1456,69,61,1,1,0,0,0,0
2,1738,91,63,0,0,1,0,1,0
2,1872,77,62,1,0,1,0,0,0
2,1875,82,49,0,1,0,0,1,0
2,1900,87,70,0,1,0,0,1,0
2,1936,78,62,0,1,0,0,1,0
1,217,92,58,0,0,0,1,1,0
1,786,76,40,0,0,1,0,0,0
1,880,90,34,0,1,0,0,0,0
1,1874,77,72,0,0,1,0,0,0
1,2157,88,55,0,0,0,1,1,0
1,2285,90,53,0,0,1,0,1,0
1,2638,78,80,1,1,0,0,0,0
1,2747,79,49,0,1,0,0,0,0
2,29,92,60,0,0,0,1,1,0
2,424,70,55,0,1,0,0,0,0
2,489,96,58,0,1,0,0,1,0
2,629,72,54,0,1,0,0,0,0
2,789,67,53,0,1,0,0,0,0
2,921,70,50,0,1,0,0,0,0
2,1042,92,66,0,0,0,1,1,0
2,1312,93,39,0,0,0,1,1,0
2,1387,88,48,0,0,0,1,1,0
2,1474,70,56,0,1,0,0,0,0
2,1997,89,68,0,1,0,0,1,0
2,2301,75,40,0,0,1,0,0,0
2,2303,68,50,0,1,0,0,1,0
2,2530,73,38,0,1,0,0,0,0
2,2599,88,29,0,0,1,0,0,0
2,2653,89,50,0,0,0,1,1,1
2,3005,89,42,0,1,0,0,0,1
1,111,79,64,0,1,0,0,0,0
1,667,79,54,0,1,0,0,1,0
1,763,94,35,0,0,1,0,1,0
1,894,78,39,0,1,0,0,0,0
1,974,89,51,0,1,0,0,0,0
1,1015,73,45,0,0,1,0,1,0
1,1164,91,63,0,0,0,1,1,0
1,1200,79,23,0,1,0,0,0,0
1,1313,86,26,0,1,0,0,0,0
1,1462,91,37,0,0,0,1,0,0
1,1695,90,70,0,1,0,0,0,0
1,2638,69,21,0,1,0,0,0,0
1,2695,77,26,0,1,0,0,0,0
2,458,80,29,0,1,0,0,1,0
2,699,79,38,0,1,0,0,1,0
2,1799,88,29,0,1,0,0,1,0
2,2061,75,43,0,1,0,0,1,0
2,2547,77,31,1,1,0,0,0,0
1,154,75,42,0,1,0,0,1,0
1,249,79,21,0,1,0,0,1,0
1,441,84,45,0,0,1,0,1,0
1,805,73,38,0,0,1,0,1,0
1,883,74,71,0,0,1,0,0,0
1,1003,68,50,0,1,0,0,0,0
1,1173,62,54,0,1,0,0,0,0
1,2069,94,63,0,1,0,0,1,0
1,2100,89,61,0,1,0,0,1,0
1,2576,99,39,0,0,0,1,1,1
1,2714,81,75,0,0,1,0,1,0
2,66,90,66,0,0,0,1,1,0
2,939,77,29,0,1,0,0,0,0
