period,time,x,y,freeKick,rightFoot,leftFoot,head,opportunity,goal
1,606,94,57,0,1,0,0,1,1
1,859,83,42,0,0,0,1,0,0
1,1568,96,43,0,1,0,0,1,1
1,1801,84,21,0,1,0,0,0,0
1,2010,73,51,0,1,0,0,1,0
1,2073,72,59,0,1,0,0,0,0
2,111,82,32,0,1,0,0,0,0
2,411,93,51,0,1,0,0,1,1
2,684,87,68,0,1,0,0,0,0
2,707,82,21,0,1,0,0,0,0
2,1178,94,95,1,0,1,0,1,0
2,1576,88,37,0,1,0,0,1,0
2,2207,79,50,0,0,1,0,1,0
2,2215,75,34,0,1,0,0,0,0
2,2559,87,55,0,0,1,0,1,0
2,2560,93,47,0,0,1,0,1,1
1,123,88,64,0,0,1,0,1,0
1,512,90,34,0,0,1,0,1,0
1,829,87,38,0,0,1,0,0,0
1,1231,77,43,0,1,0,0,1,0
1,1234,95,45,0,0,0,1,1,0
1,1449,79,65,0,0,1,0,1,0
1,1645,94,44,0,0,0,1,1,0
1,1863,73,58,0,0,1,0,0,0
1,2200,86,67,0,0,1,0,1,0
2,136,80,36,0,0,1,0,1,1
2,252,90,42,0,1,0,0,1,0
2,337,75,72,1,0,1,0,1,0
2,518,72,79,0,1,0,0,0,0
2,616,86,66,0,0,1,0,0,0
2,805,88,62,0,1,0,0,0,0
2,1465,93,63,0,1,0,0,0,1
2,2229,85,37,0,1,0,0,0,0
2,2413,77,46,0,1,0,0,1,0
2,2631,76,64,0,1,0,0,0,0
2,2735,90,39,0,1,0,0,0,0
2,2737,85,57,0,1,0,0,0,0
1,38,92,64,0,0,1,0,1,0
1,202,74,42,0,1,0,0,1,0
1,568,91,46,0,0,0,1,1,0
1,1334,88,72,0,0,1,0,0,0
1,1361,80,36,0,1,0,0,1,1
1,2298,81,30,1,1,0,0,1,0
1,2348,93,49,0,1,0,0,1,0
1,2711,87,16,1,1,0,0,0,0
1,2742,97,35,0,0,0,1,1,0
2,546,93,51,0,0,0,1,1,0
2,594,77,30,0,1,0,0,1,0
2,921,85,50,0,1,0,0,1,1
2,2354,73,71,0,1,0,0,1,0
2,2481,87,48,0,1,0,0,0,0
2,2493,94,68,0,1,0,0,1,0
2,2542,83,50,0,1,0,0,0,0
2,2703,86,57,0,0,1,0,1,1
2,2781,72,28,0,0,1,0,0,0
1,245,88,64,0,0,0,1,1,0
1,647,87,63,0,0,1,0,0,0
1,987,93,29,0,1,0,0,1,0
1,1067,88,49,0,1,0,0,0,0
1,1146,76,43,0,0,1,0,1,0
1,1440,74,62,0,1,0,0,0,0
1,1489,90,31,0,0,1,0,0,0
1,1543,76,58,0,0,1,0,0,0
1,2187,74,29,1,1,0,0,0,0
1,2385,80,61,0,0,1,0,0,0
1,2580,84,67,0,1,0,0,0,0
1,2870,77,68,1,0,1,0,1,0
2,58,76,68,0,1,0,0,1,0
2,205,71,55,0,0,1,0,1,0
2,280,90,67,0,1,0,0,1,0
2,325,93,51,0,0,0,1,1,1
2,387,74,46,0,0,1,0,0,0
2,501,89,65,0,0,1,0,1,1
2,723,93,54,0,0,0,1,1,0
2,890,97,40,0,1,0,0,1,0
2,1001,73,44,0,0,1,0,0,0
2,1451,92,36,0,0,1,0,0,0
2,1612,78,47,0,1,0,0,1,1
2,2057,76,43,0,0,1,0,0,0
2,2098,91,56,0,0,0,1,1,0
2,2384,71,19,0,1,0,0,1,0
2,2634,94,50,0,1,0,0,1,0
2,2637,91,52,0,1,0,0,0,0
2,2645,75,40,0,0,1,0,1,0
1,153,87,42,0,0,1,0,1,0
1,823,97,45,0,0,0,1,1,1
1,1056,87,41,0,0,0,1,0,0
1,1236,79,64,0,1,0,0,0,0
1,1268,69,49,0,1,0,0,1,0
1,1698,67,57,1,0,1,0,0,0
1,1927,86,66,0,0,1,0,1,0
1,2067,89,44,0,0,0,1,0,0
2,149,69,25,0,1,0,0,1,0
2,200,86,65,0,1,0,0,1,0
2,1186,84,28,0,1,0,0,0,0
2,1499,92,64,0,0,1,0,1,1
2,1736,77,76,0,1,0,0,1,0
2,2123,88,53,0,0,1,0,1,0
2,2327,90,56,0,1,0,0,1,1
1,241,91,30,0,1,0,0,0,0
1,340,92,59,0,1,0,0,1,1
1,576,91,54,0,0,0,1,0,0
1,743,82,51,0,1,0,0,0,0
1,829,91,69,0,1,0,0,1,0
1,1044,74,63,0,0,1,0,1,0
1,1468,89,76,0,1,0,0,0,0
1,1673,94,48,0,0,0,1,1,1
1,2380,87,58,0,0,1,0,0,0
1,2544,80,40,1,1,0,0,0,0
1,2707,95,27,0,0,1,0,1,0
2,196,73,45,1,0,1,0,1,0
2,426,83,45,0,1,0,0,1,1
2,759,95,51,0,0,0,1,1,1
2,1445,93,53,0,0,0,1,1,1
2,1868,73,63,1,1,0,0,1,0
2,2207,74,45,1,0,1,0,1,0
2,2450,86,34,0,1,0,0,0,0
2,2580,87,32,0,0,1,0,1,0
2,2827,89,54,0,1,0,0,1,0
1,297,85,27,0,0,1,0,0,0
1,442,73,40,0,1,0,0,1,0
1,466,89,24,0,0,1,0,1,0
1,543,88,47,0,0,0,1,1,0
1,660,93,42,0,0,0,1,1,0
1,788,76,57,0,0,1,0,1,0
1,1813,73,72,0,1,0,0,0,0
1,1897,76,38,0,1,0,0,1,0
1,1973,83,70,0,1,0,0,1,0
1,2041,97,44,0,0,0,1,1,0
1,2288,72,38,0,1,0,0,0,0
2,276,72,44,0,0,1,0,1,0
2,567,76,54,0,0,1,0,0,0
2,788,94,58,0,0,0,1,1,1
2,927,83,44,0,1,0,0,1,0
2,1237,90,58,0,1,0,0,1,0
2,1466,89,29,0,0,1,0,1,0
1,199,81,73,0,1,0,0,0,0
1,270,81,73,0,1,0,0,0,0
1,304,90,66,0,1,0,0,1,0
1,594,69,44,0,1,0,0,0,0
1,791,66,62,1,0,1,0,0,0
1,1043,88,65,0,1,0,0,1,0
1,1045,96,42,0,0,0,1,1,0
1,1168,69,57,0,1,0,0,0,0
1,1302,89,69,0,1,0,0,0,0
1,1420,88,29,0,0,1,0,1,0
1,1732,95,33,0,0,0,1,1,0
1,2038,82,73,0,0,1,0,1,0
1,2209,93,42,0,0,0,1,1,0
1,2478,91,36,0,0,1,0,1,1
2,517,84,37,0,0,1,0,1,0
2,800,91,69,0,0,1,0,1,0
2,1170,76,35,0,1,0,0,1,0
2,1346,95,66,0,1,0,0,1,0
2,1797,91,53,0,1,0,0,1,0
2,2099,93,45,0,1,0,0,1,1
2,2590,67,44,0,0,1,0,0,0
2,2742,74,64,0,1,0,0,1,0
1,184,95,46,0,1,0,0,1,1
1,389,91,71,0,0,1,0,1,0
1,785,86,30,0,1,0,0,1,0
1,935,76,22,0,1,0,0,1,0
1,1549,91,51,0,0,0,1,0,0
1,1643,72,43,0,1,0,0,0,0
1,1764,85,53,0,0,1,0,1,0
1,2200,72,62,0,1,0,0,1,0
1,2413,74,50,0,1,0,0,1,0
2,269,75,46,0,1,0,0,0,0
2,1135,92,48,0,0,0,1,1,0
2,1532,85,59,0,1,0,0,0,0
2,2087,85,30,0,1,0,0,1,0
2,2798,92,44,0,0,0,1,0,0
1,154,78,20,0,0,1,0,0,0
1,429,82,9,1,1,0,0,0,0
1,605,90,28,0,1,0,0,0,0
1,1020,90,50,0,0,1,0,1,0
1,1079,98,33,0,0,1,0,0,0
1,1110,72,63,0,1,0,0,0,0
1,1291,89,38,0,1,0,0,1,0
1,1296,76,46,0,0,1,0,0,0
1,1310,81,59,0,1,0,0,1,0
1,1330,89,63,0,1,0,0,1,0
1,1334,82,53,0,1,0,0,1,0
1,1625,90,45,0,1,0,0,1,0
1,1735,92,48,0,0,0,1,1,0
1,1848,90,49,0,1,0,0,1,0
1,1902,89,54,0,0,0,1,1,0
1,1936,91,54,0,0,0,1,1,0
1,2173,78,50,0,1,0,0,1,0
1,2435,91,49,0,0,0,1,1,0
2,36,91,42,0,1,0,0,1,1
2,511,89,51,0,0,1,0,1,0
2,936,88,42,0,0,0,1,1,0
2,1388,96,45,0,0,1,0,1,1
2,2123,78,33,0,0,1,0,1,0
2,2221,96,62,0,1,0,0,1,0
2,2275,74,75,0,0,1,0,0,0
2,2374,92,70,0,1,0,0,1,0
2,2464,75,35,0,1,0,0,1,0
2,2585,93,30,0,0,1,0,0,0
1,265,76,44,0,0,1,0,1,0
1,933,77,62,1,0,1,0,0,0
1,965,95,29,0,0,0,1,1,0
1,998,86,33,0,0,1,0,1,0
1,1480,77,29,0,1,0,0,1,0
1,1542,93,62,0,0,0,1,1,0
1,1603,92,69,0,1,0,0,1,1
1,1908,90,37,0,0,1,0,1,0
1,2680,72,60,0,1,0,0,1,0
1,2801,75,8,0,0,1,0,0,0
1,2936,92,63,0,1,0,0,1,0
2,250,78,35,0,1,0,0,1,0
2,638,68,41,0,1,0,0,1,1
2,751,71,58,0,1,0,0,1,0
2,1448,71,57,0,0,1,0,0,0
2,1483,81,62,0,1,0,0,1,0
2,1525,91,58,0,0,0,1,0,0
2,1572,87,63,0,1,0,0,1,0
2,1810,77,60,0,1,0,0,0,0
2,1847,95,47,0,0,0,1,1,0
2,1874,86,55,0,1,0,0,0,0
2,2291,75,26,0,0,1,0,1,0
1,810,84,30,0,1,0,0,0,0
1,1668,93,58,0,0,0,1,1,0
1,2453,86,49,0,0,0,1,0,0
1,2559,92,46,0,0,0,1,1,0
1,2596,78,65,0,1,0,0,1,1
1,2713,79,42,0,1,0,0,1,0
2,388,86,68,0,0,1,0,1,0
2,753,73,65,0,1,0,0,0,0
2,992,79,68,0,1,0,0,1,0
2,1120,96,44,0,0,1,0,1,1
2,1648,81,54,0,1,0,0,1,0
2,1691,97,64,0,1,0,0,1,0
2,1884,90,49,0,1,0,0,1,0
2,2274,76,53,0,0,1,0,0,0
2,2484,93,23,0,0,1,0,1,0
2,2628,91,68,0,1,0,0,1,0
2,2746,91,48,0,0,1,0,1,0
2,2769,84,45,0,1,0,0,0,0
1,111,73,46,0,0,1,0,1,0
1,354,82,49,0,0,1,0,0,0
1,539,91,54,0,0,0,1,0,0
1,807,86,52,0,0,0,1,1,0
1,809,97,48,0,0,1,0,1,0
1,1668,74,80,0,1,0,0,1,0
1,1771,76,34,0,0,1,0,1,0
1,1818,82,56,0,0,1,0,0,0
1,2527,83,40,0,1,0,0,0,0
2,423,91,53,0,0,0,1,1,0
2,527,91,51,0,0,0,1,1,0
2,917,88,50,0,0,0,1,0,0
2,1270,87,39,0,1,0,0,1,1
2,1400,87,51,0,0,0,1,0,0
2,1619,90,48,0,0,0,1,1,0
2,2096,88,50,0,0,0,1,1,0
