period,time,x,y,freeKick,rightFoot,leftFoot,head,opportunity,goal
1,248,83,66,0,1,0,0,1,0
1,529,95,59,0,0,0,1,1,1
1,668,91,66,0,1,0,0,1,0
1,673,88,49,0,1,0,0,1,0
1,949,74,42,0,1,0,0,0,0
1,1078,98,53,0,0,0,1,1,1
1,1203,94,66,0,1,0,0,1,0
1,1376,91,73,0,1,0,0,1,0
1,1403,78,60,0,1,0,0,0,0
1,1594,93,37,0,0,1,0,1,0
1,2166,78,64,1,0,1,0,0,0
1,2209,80,57,0,1,0,0,1,0
1,2470,78,63,0,1,0,0,1,0
1,2567,76,51,0,1,0,0,0,0
1,2627,81,70,0,0,1,0,0,0
2,40,99,62,0,0,0,1,1,0
2,147,96,71,0,0,0,1,1,0
2,220,92,68,0,1,0,0,1,0
2,650,81,70,0,1,0,0,1,0
2,709,94,55,0,1,0,0,1,0
2,712,92,50,0,1,0,0,1,0
2,967,90,57,0,0,0,1,1,0
2,1161,91,71,0,1,0,0,1,1
2,1610,94,49,0,0,0,1,1,0
2,1974,88,31,0,0,1,0,1,0
2,2149,76,37,0,0,1,0,0,0
2,2347,77,30,0,1,0,0,0,0
2,2407,88,63,0,1,0,0,1,0
2,2572,81,39,0,1,0,0,0,0
2,2575,93,34,0,1,0,0,1,0
2,2718,78,32,0,1,0,0,0,0
2,2745,90,62,0,1,0,0,1,0
1,194,96,38,0,0,0,1,1,0
1,242,94,43,0,0,1,0,1,0
1,441,75,53,0,1,0,0,0,0
1,856,92,60,0,0,1,0,1,0
1,926,90,40,0,0,0,1,1,0
1,1285,75,37,0,1,0,0,0,0
1,1429,75,33,1,1,0,0,1,0
1,1602,91,48,0,0,0,1,1,0
1,1689,79,59,0,0,1,0,0,0
1,1693,93,43,0,1,0,0,1,0
1,2097,89,34,0,0,1,0,1,0
1,2133,74,70,0,1,0,0,0,0
1,2446,74,44,0,0,1,0,0,0
1,2684,68,46,0,1,0,0,0,0
2,195,76,34,1,1,0,0,0,0
2,514,82,34,0,1,0,0,0,0
2,684,67,35,0,0,1,0,0,0
2,807,87,72,0,1,0,0,1,0
2,891,75,51,0,0,1,0,1,0
2,1656,73,40,0,1,0,0,0,0
2,2200,78,35,0,0,1,0,0,0
2,2307,90,59,0,1,0,0,1,0
2,2325,77,43,0,1,0,0,1,1
2,2799,80,67,0,0,1,0,1,0
1,11,73,40,0,0,1,0,0,0
1,629,83,71,0,1,0,0,1,0
1,744,75,36,0,1,0,0,0,0
1,834,90,61,0,0,0,1,1,0
1,1100,76,61,0,1,0,0,0,0
1,1438,80,46,0,1,0,0,1,0
1,2243,76,26,0,1,0,0,0,0
1,2390,80,68,0,0,1,0,1,0
2,31,89,74,0,0,1,0,1,1
2,437,98,73,0,1,0,0,1,0
2,535,85,54,0,1,0,0,0,0
2,660,89,36,0,1,0,0,0,0
2,664,80,55,0,1,0,0,0,0
2,986,91,38,0,0,1,0,1,1
2,1721,89,67,0,1,0,0,1,0
2,2098,96,58,0,1,0,0,1,0
2,2505,83,24,1,1,0,0,1,0
1,516,75,21,0,0,1,0,0,0
1,598,81,65,0,0,1,0,1,0
1,639,80,40,0,1,0,0,1,0
1,857,90,29,0,0,1,0,1,0
1,947,97,42,0,0,0,1,1,0
1,1204,88,26,0,1,0,0,0,0
1,1914,90,41,0,1,0,0,1,0
1,2089,5,82,0,0,1,0,1,0
1,2149,90,54,0,1,0,0,1,0
1,2672,77,79,0,0,1,0,1,0
1,2755,74,30,0,1,0,0,1,0
2,224,96,37,0,0,1,0,0,0
2,370,93,74,0,1,0,0,1,0
2,1367,94,62,0,0,0,1,1,0
2,1404,96,59,0,0,0,1,1,0
2,1848,97,40,0,0,0,1,1,0
2,1922,88,56,0,1,0,0,0,0
2,2076,74,53,0,0,1,0,0,0
2,2139,79,65,0,1,0,0,0,0
2,2378,88,29,0,1,0,0,1,0
1,364,89,28,0,0,1,0,1,0
1,486,88,43,0,0,1,0,1,0
1,801,69,51,0,0,1,0,0,0
1,873,90,46,0,0,0,1,1,0
1,919,90,42,0,1,0,0,1,0
1,1005,89,51,0,1,0,0,1,0
1,1128,92,34,0,1,0,0,1,0
1,1532,74,78,0,0,1,0,1,0
1,1879,92,77,0,1,0,0,1,0
1,2265,72,32,0,1,0,0,0,0
1,2298,71,52,0,0,1,0,0,0
1,2530,90,22,0,1,0,0,1,0
1,2859,90,45,0,0,0,1,0,0
2,194,92,58,0,1,0,0,1,1
2,281,87,58,0,1,0,0,1,0
2,551,91,65,0,1,0,0,1,0
2,683,88,55,0,0,1,0,1,0
2,859,68,47,0,1,0,0,0,0
2,975,88,54,0,1,0,0,1,0
2,1149,94,43,0,0,0,1,1,0
2,1310,93,54,0,1,0,0,1,0
2,1511,80,32,0,1,0,0,0,0
2,1522,89,57,0,0,0,1,1,0
2,1538,88,71,0,1,0,0,1,0
2,1685,90,38,0,1,0,0,1,0
2,1813,75,74,0,1,0,0,1,0
2,2261,87,58,0,0,1,0,1,0
2,2425,85,61,0,0,1,0,1,0
2,2468,75,48,0,1,0,0,1,0
2,2499,92,52,0,0,0,1,1,0
2,2697,73,53,1,1,0,0,1,0
2,2799,90,62,0,1,0,0,1,0
1,847,92,39,0,0,0,1,1,0
1,1018,79,49,0,1,0,0,0,0
1,1068,88,37,0,1,0,0,0,0
1,1130,80,24,0,1,0,0,0,0
1,1394,68,55,0,0,1,0,0,0
1,1683,69,41,0,0,1,0,1,0
1,2100,93,36,0,1,0,0,1,0
1,2320,71,30,0,0,1,0,1,0
1,2453,83,60,0,1,0,0,1,0
2,96,91,73,0,1,0,0,1,0
2,303,76,59,1,1,0,0,0,0
2,550,72,66,0,1,0,0,1,0
2,1317,77,73,0,1,0,0,0,0
2,1435,77,23,0,1,0,0,0,0
2,1636,90,30,0,1,0,0,1,1
2,1917,91,33,0,1,0,0,1,0
2,2067,78,64,0,1,0,0,0,0
2,2081,86,43,0,0,1,0,0,0
2,2082,94,43,0,0,1,0,1,0
2,2405,72,17,0,1,0,0,0,0
2,2941,93,69,0,1,0,0,1,0
1,367,88,67,0,1,0,0,1,0
1,473,97,36,0,1,0,0,1,1
1,650,92,42,0,0,0,1,1,0
1,947,81,48,0,1,0,0,0,0
1,1224,94,32,0,0,0,1,1,0
1,1461,87,61,0,0,1,0,0,0
1,1686,85,30,0,0,1,0,1,0
1,1872,71,66,1,0,1,0,1,0
1,1947,90,45,0,0,0,1,1,0
1,2543,84,30,0,0,1,0,1,0
2,365,68,82,0,0,1,0,1,0
2,625,76,49,0,1,0,0,0,0
2,706,76,65,0,1,0,0,0,0
2,914,92,46,0,0,0,1,1,0
2,1136,91,56,0,0,0,1,1,0
2,1282,76,50,0,0,1,0,0,0
2,1508,71,36,0,1,0,0,1,0
2,1995,80,38,0,0,1,0,0,0
2,2009,89,64,0,1,0,0,1,0
2,2280,78,66,0,1,0,0,0,0
2,2396,79,60,0,0,1,0,1,0
2,2583,86,52,0,1,0,0,1,0
2,2910,91,46,0,0,1,0,1,0
2,2964,87,40,0,0,1,0,1,0
1,322,94,61,0,0,0,1,1,0
1,574,81,54,0,0,1,0,1,0
1,645,72,67,0,1,0,0,0,0
1,916,77,66,0,1,0,0,0,0
1,1225,91,48,0,0,0,1,1,0
1,1355,90,27,0,1,0,0,0,0
1,1360,93,40,0,0,1,0,1,0
2,228,84,48,0,1,0,0,1,0
2,315,85,29,0,1,0,0,0,0
2,742,83,55,0,1,0,0,1,0
2,1188,93,56,0,0,0,1,1,0
2,1276,90,69,0,1,0,0,1,0
2,1362,89,41,0,0,0,1,1,0
2,1633,89,48,0,1,0,0,1,1
2,2007,72,45,0,1,0,0,1,0
2,2117,75,85,1,1,0,0,0,0
2,2191,77,48,0,1,0,0,0,0
2,2859,86,48,0,0,1,0,1,0
2,2890,89,44,0,0,0,1,1,0
1,389,89,50,0,0,0,1,0,0
1,528,71,45,0,1,0,0,0,0
1,709,86,39,0,0,1,0,1,0
1,738,86,62,0,0,0,1,1,0
1,1020,90,45,0,1,0,0,1,0
1,1133,76,51,0,0,1,0,0,0
1,1312,86,64,0,1,0,0,1,1
1,1467,94,52,0,0,0,1,1,0
1,1555,80,64,0,0,1,0,0,0
1,1601,91,24,0,1,0,0,1,1
1,1877,86,71,0,1,0,0,1,0
