period,time,x,y,freeKick,rightFoot,leftFoot,head,opportunity,goal
1,194,80,41,0,1,0,0,1,0
1,251,95,33,0,0,1,0,1,0
1,634,72,63,0,1,0,0,0,0
1,1359,91,62,0,1,0,0,1,0
1,1413,86,26,0,0,1,0,0,0
1,1462,74,60,0,0,1,0,1,0
1,1492,87,40,0,0,1,0,1,0
1,1666,91,32,0,0,1,0,0,0
1,1726,77,14,0,1,0,0,0,0
1,1844,79,68,1,0,1,0,1,1
1,2121,91,33,0,0,0,1,0,0
1,2352,75,61,0,0,1,0,0,0
1,2483,80,42,1,1,0,0,1,0
1,2558,67,58,0,1,0,0,0,0
2,187,88,51,0,1,0,0,1,0
2,1036,94,65,0,0,0,1,0,0
2,1434,92,37,0,1,0,0,1,0
2,1479,71,66,0,0,1,0,1,0
2,1556,81,34,0,0,1,0,0,0
2,2179,75,54,0,0,1,0,1,0
2,2475,97,54,0,1,0,0,1,0
2,2804,88,45,0,0,0,1,1,0
2,2975,89,67,0,0,1,0,0,0
2,2977,88,42,0,0,1,0,0,0
1,91,92,56,0,0,0,1,1,0
1,250,92,36,0,0,1,0,0,0
1,481,87,27,0,0,1,0,1,0
1,707,77,59,0,0,1,0,1,0
1,964,75,59,0,1,0,0,1,0
1,1094,97,62,0,1,0,0,1,0
1,1525,78,40,0,0,1,0,1,0
1,1593,89,35,0,0,1,0,1,1
1,1821,93,72,0,0,1,0,1,0
1,1980,77,54,0,1,0,0,1,1
1,2573,76,67,0,0,1,0,0,0
1,2707,73,77,0,1,0,0,0,0
2,182,70,55,1,1,0,0,1,0
2,412,89,63,0,1,0,0,1,0
2,724,76,36,0,1,0,0,0,0
2,769,79,60,0,0,1,0,1,0
2,921,72,35,1,1,0,0,1,0
2,1517,94,29,0,0,1,0,1,0
2,2060,81,34,0,1,0,0,1,0
2,2743,77,30,0,1,0,0,0,0
2,2803,74,61,0,1,0,0,0,0
1,768,94,63,0,1,0,0,1,0
1,908,70,19,0,1,0,0,0,0
1,997,91,46,0,0,0,1,1,0
1,1059,97,53,0,0,0,1,0,1
1,1206,93,67,0,0,1,0,1,0
1,1315,91,59,0,1,0,0,1,0
1,1376,91,39,0,0,1,0,1,1
1,1659,72,48,1,0,1,0,0,0
1,1872,75,29,0,1,0,0,1,0
1,1950,83,45,0,1,0,0,0,0
1,2238,73,58,0,0,1,0,0,0
1,2335,91,65,0,1,0,0,0,0
2,174,96,64,0,0,0,1,1,0
2,312,96,35,0,0,1,0,1,0
2,1315,87,48,0,1,0,0,0,0
2,1389,92,31,0,0,1,0,1,0
2,1503,86,51,0,1,0,0,0,0
2,1640,92,49,0,0,0,1,1,0
2,1996,89,59,0,1,0,0,1,0
2,2025,76,70,0,1,0,0,1,0
2,2463,90,45,0,1,0,0,1,0
2,2540,91,57,0,1,0,0,1,0
2,2581,88,47,0,0,1,0,1,0
2,2838,76,57,1,1,0,0,1,0
2,2944,80,53,1,1,0,0,1,0
1,152,84,49,0,1,0,0,1,0
1,1032,86,26,0,1,0,0,1,0
1,1117,83,34,0,1,0,0,1,0
1,1300,75,58,0,1,0,0,0,0
1,1427,91,70,0,1,0,0,1,0
1,1554,87,64,0,0,1,0,1,0
