period,time,x,y,freeKick,rightFoot,leftFoot,head,opportunity,goal
1,58,93,34,0,0,1,0,1,0
1,61,80,59,0,1,0,0,0,0
1,447,88,57,0,1,0,0,1,0
1,489,87,66,0,1,0,0,1,0
1,949,75,40,0,1,0,0,0,0
1,1028,78,69,0,1,0,0,0,0
1,1169,78,35,0,0,1,0,0,0
1,1471,89,65,0,1,0,0,0,0
1,1805,91,62,0,0,0,1,1,0
1,2098,85,63,0,0,1,0,0,0
1,2148,93,63,0,1,0,0,0,0
1,2538,76,49,0,1,0,0,0,0
1,2730,90,28,0,1,0,0,0,0
1,2771,99,37,0,1,0,0,1,0
2,188,76,52,0,1,0,0,1,0
2,267,72,59,0,1,0,0,0,0
2,422,80,40,0,1,0,0,1,0
2,1124,92,40,0,0,1,0,1,0
2,1365,88,39,0,0,1,0,0,0
2,2114,91,36,0,1,0,0,1,0
2,2166,97,35,0,0,1,0,1,0
1,269,85,70,0,0,1,0,1,0
1,606,90,51,0,0,0,1,1,0
1,756,91,30,0,0,1,0,1,0
1,1085,81,71,0,0,1,0,1,0
1,1230,76,53,1,0,1,0,1,0
1,1301,96,60,0,1,0,0,1,1
1,1413,82,72,0,0,1,0,1,0
1,1443,92,65,0,1,0,0,1,0
1,1590,87,69,0,0,1,0,0,0
1,1809,85,39,0,1,0,0,0,0
1,1934,72,24,0,0,1,0,1,1
1,2585,84,24,0,1,0,0,0,0
1,2586,81,38,0,1,0,0,0,0
1,2642,87,52,0,0,1,0,1,0
1,2740,95,65,0,0,0,1,0,0
2,256,90,54,0,0,1,0,1,0
2,289,91,37,0,1,0,0,1,1
2,413,84,66,0,0,1,0,1,0
2,929,89,24,0,1,0,0,1,0
2,1140,75,71,0,1,0,0,1,0
2,1152,92,65,0,0,1,0,1,0
2,1223,88,40,0,0,0,1,0,0
2,1389,80,31,0,1,0,0,0,0
2,1527,90,46,0,0,0,1,1,0
2,1772,71,47,0,1,0,0,1,0
2,2084,90,40,0,1,0,0,1,1
2,2749,71,58,1,1,0,0,1,0
1,483,92,57,0,0,0,1,1,0
1,919,84,61,0,1,0,0,0,0
1,1134,88,72,0,0,1,0,1,0
1,1252,94,68,0,1,0,0,1,0
