period,time,x,y,target,freeKick,rightFoot,leftFoot,head,opportunity,goal
1,327,87,27,1.0,0,1,0,0,0,0
1,407,90,69,0.0,0,1,0,0,0,0
1,526,86,30,0.0,0,0,1,0,0,0
1,693,93,60,0.0,0,0,0,1,1,1
1,1266,86,38,1.0,0,0,1,0,0,0
1,1647,73,32,1.0,0,1,0,0,0,0
1,1820,88,56,1.0,0,0,0,1,0,0
1,2532,93,38,0.0,0,0,1,0,1,1
2,371,80,67,0.0,0,1,0,0,1,0
2,632,92,60,1.0,0,0,1,0,1,0
2,1160,86,46,0.0,0,0,0,1,1,0
2,1338,88,67,0.0,0,1,0,0,1,0
2,1554,94,48,0.0,0,0,0,1,1,1
2,1667,69,31,1.0,0,1,0,0,1,0
2,1891,90,59,0.0,0,0,0,1,1,0
2,2194,87,69,1.0,0,0,1,0,0,0
2,2318,70,40,0.0,0,1,0,0,0,0
2,2749,86,29,0.0,0,0,1,0,1,1
2,2939,81,67,0.0,1,1,0,0,1,1
1,476,77,50,1.0,0,1,0,0,1,0
1,663,90,57,0.0,0,1,0,0,1,0
1,796,90,70,1.0,0,1,0,0,1,0
1,1349,82,32,1.0,0,0,1,0,1,0
1,1384,93,41,1.0,0,1,0,0,1,0
1,1549,81,62,0.0,0,1,0,0,1,0
1,1726,71,79,1.0,0,1,0,0,1,0
1,1893,72,50,1.0,1,1,0,0,0,0
1,2757,74,40,0.0,0,1,0,0,0,0
2,51,93,61,1.0,0,1,0,0,1,0
2,615,75,21,0.0,0,1,0,0,0,0
2,1350,73,66,1.0,0,1,0,0,0,0
2,1474,89,58,1.0,0,0,1,0,1,0
2,1611,79,79,0.0,0,1,0,0,1,0
2,2152,89,63,0.0,0,1,0,0,1,0
2,2249,81,43,1.0,0,1,0,0,1,0
2,2565,77,26,1.0,1,1,0,0,1,0
2,2567,88,51,1.0,0,1,0,0,1,0
2,2640,90,47,1.0,0,0,0,1,1,1
2,2985,86,69,0.0,0,1,0,0,0,0
1,282,78,26,0.0,0,0,1,0,0,0
1,320,89,46,0.0,0,0,0,1,1,0
1,336,75,50,0.0,0,1,0,0,1,0
1,781,80,57,0.0,0,0,1,0,0,0
1,852,95,42,1.0,0,0,0,1,1,0
1,928,89,29,1.0,0,1,0,0,1,0
1,1096,74,36,0.0,0,1,0,0,1,0
1,1382,71,30,0.0,0,1,0,0,0,0
1,1451,77,36,1.0,0,1,0,0,0,0
1,2030,94,32,1.0,0,0,0,1,1,0
1,2074,94,36,1.0,0,0,0,1,1,0
1,2300,72,44,0.0,0,0,1,0,0,0
1,2425,91,62,0.0,0,0,0,1,1,0
1,2469,87,58,1.0,0,0,1,0,1,0
2,90,75,74,0.0,0,1,0,0,0,0
2,628,88,37,1.0,0,0,1,0,1,0
2,818,93,58,0.0,0,0,1,0,1,1
2,970,89,60,0.0,0,1,0,0,1,1
2,1073,89,58,1.0,0,0,0,1,1,0
2,1308,83,49,1.0,0,1,0,0,1,0
2,1477,74,32,1.0,0,1,0,0,1,0
2,1781,96,38,0.0,0,0,0,1,1,0
2,2537,83,50,1.0,0,0,1,0,0,0
2,2689,82,72,1.0,0,0,1,0,1,0
1,113,81,32,0.0,0,0,1,0,0,0
1,442,75,42,1.0,1,1,0,0,0,0
1,731,91,37,0.0,0,0,1,0,1,0
1,1204,96,23,0.0,0,1,0,0,1,0
1,1228,94,76,1.0,0,1,0,0,1,0
1,1335,94,54,0.0,0,0,1,0,1,1
1,1470,91,69,0.0,0,1,0,0,1,0
1,1523,77,76,1.0,0,0,1,0,1,0
1,1700,92,58,1.0,0,1,0,0,1,0
1,2257,72,51,1.0,0,1,0,0,0,0
2,333,73,56,0.0,1,1,0,0,1,0
2,991,93,63,0.0,0,0,0,1,1,0
2,1086,87,75,0.0,0,0,1,0,0,0
2,1375,93,57,0.0,0,0,0,1,1,0
2,1913,90,40,0.0,0,1,0,0,1,0
2,2056,75,44,0.0,0,1,0,0,0,0
2,2057,89,59,0.0,0,0,0,1,1,0
2,2417,87,48,0.0,0,1,0,0,1,0
2,2598,84,51,0.0,0,1,0,0,0,0
2,2650,73,23,1.0,0,1,0,0,0,0
2,2691,91,62,1.0,0,0,0,1,1,0
2,2759,80,29,1.0,0,1,0,0,1,0
1,65,71,42,0.0,0,1,0,0,1,0
1,569,82,47,0.0,1,1,0,0,1,1
1,712,84,39,1.0,0,1,0,0,1,0
1,1361,78,26,0.0,0,0,1,0,1,0
